filename,category,score,path
15139979.pdf,ENGINEERING,3.58,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\15139979.pdf
26718039.pdf,CHEF,3.58,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\26718039.pdf
16132195.pdf,HEALTHCARE,3.57,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\16132195.pdf
10466583.pdf,DESIGNER,3.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\10466583.pdf
17407184.pdf,ACCOUNTANT,3.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\17407184.pdf
31292364.pdf,PUBLIC-RELATIONS,3.54,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\31292364.pdf
18001081.pdf,TEACHER,3.52,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\18001081.pdf
37640804.pdf,ADVOCATE,3.51,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\37640804.pdf
15145575.pdf,BPO,3.51,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BPO\15145575.pdf
12386670.pdf,ARTS,3.49,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\12386670.pdf
11943065.pdf,TEACHER,3.48,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\11943065.pdf
15721849.pdf,CONSTRUCTION,3.48,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\15721849.pdf
28942221.pdf,CONSTRUCTION,3.48,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\28942221.pdf
25959103.pdf,INFORMATION-TECHNOLOGY,3.48,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\25959103.pdf
48549972.pdf,CONSTRUCTION,3.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\48549972.pdf
26069113.pdf,ARTS,3.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\26069113.pdf
21101152.pdf,CHEF,3.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\21101152.pdf
14667957.pdf,HEALTHCARE,3.46,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\14667957.pdf
29051656.pdf,INFORMATION-TECHNOLOGY,3.46,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\29051656.pdf
39434376.pdf,DESIGNER,3.46,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\39434376.pdf
15651486.pdf,INFORMATION-TECHNOLOGY,3.45,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\15651486.pdf
28423028.pdf,HEALTHCARE,3.44,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\28423028.pdf
10554045.pdf,PUBLIC-RELATIONS,3.44,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\10554045.pdf
34051710.pdf,DESIGNER,3.42,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\34051710.pdf
11919526.pdf,DESIGNER,3.41,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\11919526.pdf
17847636.pdf,ADVOCATE,3.4,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\17847636.pdf
33344933.pdf,ARTS,3.4,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\33344933.pdf
17274759.pdf,AVIATION,3.39,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\17274759.pdf
10712803.pdf,ENGINEERING,3.39,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\10712803.pdf
11722421.pdf,DESIGNER,3.39,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\11722421.pdf
29161565.pdf,AVIATION,3.38,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\29161565.pdf
38047274.pdf,AVIATION,3.38,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\38047274.pdf
45656814.pdf,FITNESS,3.38,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\45656814.pdf
45286020.pdf,TEACHER,3.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\45286020.pdf
15306049.pdf,ARTS,3.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\15306049.pdf
16186411.pdf,INFORMATION-TECHNOLOGY,3.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\16186411.pdf
25834360.pdf,HEALTHCARE,3.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\25834360.pdf
23032276.pdf,CHEF,3.35,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\23032276.pdf
15618327.pdf,AVIATION,3.35,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\15618327.pdf
19090468.pdf,HEALTHCARE,3.35,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\19090468.pdf
